name,pop,lat,lon
Alabama,5471,32.31823,-86.902298
Alaska,1349,66.160507,-153.369141
Arizona,2328,34.048927,-111.093735
Arkansas,2842,35.489746,-93.824272
California,16306,36.778259,-119.417931
Colorado,3201,39.113014,-105.358887
Connecticut,3067,41.76371,-72.685097
Delaware,1685,40.29867,-83.06797
District of Columbia,3195,38.889931,-77.009003
Florida,15029,27.994402,-81.760254
Georgia,8925,33.247875,-83.441162
Hawaii,289,21.289373,-157.91748
Idaho,661,44.068203,-114.742043
Illinois,17556,41.881832,-87.623177
Indiana,5852,40.267193,-86.134903
Iowa,2517,42.032974,-93.581543
Kansas,2145,37.697948,-97.314835
Kentucky,4157,37.839333,-84.27002
Louisiana,8103,30.39183,-92.329102
Maine,907,45.367584,-68.972168
Maryland,5798,39.045753,-76.641273
